# content: nitze rts polygon coordinates
# date: Mar 2022
# region: Canada and Russia
# description: Labelled by Tiffany and edited by Greg
# Version=1.0
X,Y,Id,Gen_or_Act,MatchMaxar
-118.118805,73.07510947,0,General,Yes
-118.1230417,73.07857334,1,Active,Yes
-118.1368006,73.07590455,2,Active,Yes
-118.0897305,73.07660197,3,Active,Yes
-118.1302244,73.073176,4,Active,Yes
-118.1487938,73.07095296,5,Active,Yes
-118.2835084,73.0641996,6,General,Yes
-118.2914537,73.06595134,7,Active,Yes
-118.2624366,73.06830476,8,Active,Yes
-118.2649511,73.06791517,9,Active,Yes
-118.273787,73.06902861,10,Active,Yes
-118.2630897,73.07426599,11,Active,Yes
-118.2686759,73.0724313,12,Active,Yes
-118.2792989,73.07351049,13,Active,Yes
-118.2721943,73.0733357,14,General,Yes
-118.3360383,73.04559259,15,Active,Yes
-118.3580415,73.0472555,16,Active,Yes
-118.341198,73.04673619,17,Active,Yes
-118.3745178,73.04844409,18,Active,Yes
-118.3849813,73.05952483,19,Active,Yes
-118.3834097,73.05736342,20,Active,Yes
-118.3855064,73.05551207,21,Active,Yes
-118.3870083,73.05358404,22,Active,Yes
-118.3806475,73.04833162,23,Active,Yes
-118.3584472,73.04622115,24,Active,Yes
-118.2095178,73.03974148,25,Active,Yes
-118.2045265,73.05022941,26,Active,Yes
-118.3427289,73.03671882,27,Active,Yes
-118.3475885,73.03831774,28,Active,Yes
-118.3518795,73.03766974,29,Active,Yes
-118.3563849,73.0357085,30,Active,Yes
-118.3653512,73.03405709,31,Active,Yes
-118.3659069,73.03203806,32,Active,Yes
-118.3681919,73.03104481,33,Active,Yes
-118.3662551,73.02984102,34,Active,Yes
-118.3650887,73.02872948,35,Active,Yes
-118.3629565,73.02768639,36,Active,Yes
-118.3621692,73.02619575,37,Active,Yes
-118.3630264,73.02463046,38,Active,Yes
-118.3576804,73.02324937,39,Active,Yes
-118.360641,73.02213443,40,Active,Yes
-118.35425,73.02035315,41,Active,Yes
-118.3450543,73.01729338,42,Active,Yes
-118.3345165,73.01558512,43,Active,Yes
-118.3308142,73.01426494,44,Active,Yes
-118.3284201,73.0143837,45,Active,Yes
-118.3450032,73.00516349,46,Active,Yes
-118.2979729,73.01320446,47,Active,Yes
-118.2939713,73.01482351,48,Active,Yes
-118.291117,73.01477461,49,Active,Yes
-118.2872852,73.00197959,50,Active,Yes
-118.2562505,73.01973197,51,Active,Yes
-118.2468132,73.01628139,52,Active,Yes
-118.2024148,73.01121122,53,Active,Yes
-118.2052585,73.0098173,54,Active,Yes
