# RTS data for val/testing
# Preventing data leakage due to repeated sampling
# 138 new RTS: 58 in Nitze regions, remainders in Y/G

OID_,Act_or_Gen,MatchMaxar,code_id,Shape_Leng,Shape_Area,Long,Lat
0,Active,Yes,1,408.9808916,5664.741449,69.21151402,70.16185685
1,Active,Yes,1,54.64811528,144.7163493,69.52759458,70.10594925
2,Active,Yes,1,168.6859471,999.6536091,68.03431691,70.78416215
3,General,Yes,1,180.537861,1411.471242,67.86989588,70.74187114
4,General,Yes,1,132.202189,762.2843037,67.83725881,70.71371407
5,Active,Yes,1,206.5056255,1508.224629,67.84710025,70.71492365
6,Active,Yes,1,294.7378761,2888.672842,67.84700092,70.71432946
7,Active,Yes,1,127.9542077,1022.148956,67.84679868,70.71374145
8,Active,Yes,1,642.3083882,16274.69399,67.91543926,70.62050583
9,Active,Yes,1,167.3772347,1062.977383,67.91502377,70.61928711
10,Active,Yes,1,593.0113135,5905.805111,67.91464469,70.61858564
11,Active,Yes,1,160.7635402,719.4936912,67.91202923,70.61806264
12,Active,Yes,1,83.3554115,280.3474132,67.91009355,70.61809451
13,General,Yes,1,863.3505464,23816.3797,67.91356444,70.62196122
14,Active,Yes,1,323.2813178,4241.233508,67.89596888,70.61878413
15,Active,Yes,1,169.783662,880.6262177,67.896082,70.61803634
16,General,Yes,1,130.776421,792.6065265,67.73610304,70.52108346
17,Active,Yes,1,72.08186885,323.7423679,67.38935852,70.6138503
18,Active,Yes,1,79.76877277,168.9972187,67.38855868,70.61355566
19,Active,Yes,1,82.5358627,367.2841634,67.38946069,70.6133749
20,Active,Yes,1,345.6374623,3174.422816,78.84429329,70.50921075
21,General,Yes,1,225.1554885,2729.853806,78.95670207,70.48794917
22,General,Yes,1,211.4568501,2580.759065,78.84672387,70.46393825
23,Active,Yes,1,220.8144634,1256.795013,78.52245878,70.42350175
24,Active,Yes,1,138.0458199,343.8300777,78.52039033,70.42184991
25,Active,Yes,1,86.65682437,537.7300216,78.58378906,70.4016929
26,Active,Yes,1,273.1058424,3004.671883,78.58329644,70.4010093
27,Active,Yes,1,311.0292947,2703.647084,78.58204646,70.39688312
28,General,Yes,1,316.0468044,3461.30578,78.5833029,70.3971188
29,General,Yes,1,265.5255096,2661.03347,78.96643312,70.40550286
30,General,Yes,1,230.255751,2126.195295,78.96907808,70.40565336
31,Active,Yes,1,325.4704015,4855.136989,76.49270233,70.49142691
32,Active,Yes,1,160.1983071,884.532248,76.50185021,70.486051
33,General,Yes,1,157.4605986,1127.349926,76.65185481,70.48260646
34,Active,Yes,1,187.8269045,2014.415284,76.54530546,70.45241607
35,General,Yes,1,176.3496523,1571.427929,76.54587093,70.45278406
36,General,Yes,1,148.5256285,831.2651337,76.53924346,70.45213851
37,General,Yes,1,467.2393684,8798.897296,76.29971348,70.43431634
38,General,Yes,1,468.2556591,5021.944734,76.27874918,70.43112885
39,General,Yes,1,241.2570021,2804.055039,76.28174119,70.43200834
40,General,Yes,1,672.505322,19674.98494,76.27307638,70.43140492
41,Active,Yes,1,302.9453598,3830.78305,76.27034756,70.43212681
42,Active,Yes,1,177.3881734,1518.219712,76.2695696,70.432478
43,Active,Yes,1,93.80389451,390.8365713,76.26928433,70.43277741
44,General,Yes,1,238.4647218,2660.505939,76.26942711,70.43321523
45,Active,Yes,1,142.7565314,1022.574941,76.243727,70.42659774
46,Active,Yes,1,122.0462043,710.8841797,76.24297239,70.425626
47,Active,Yes,1,81.96323275,335.6792894,76.24314189,70.42535791
48,General,Yes,1,104.7242602,651.6029297,76.24310516,70.42469608
49,General,Yes,1,258.0615404,4611.684975,76.25135105,70.41888739
50,Active,Yes,1,703.4123979,11669.01125,76.48613841,70.38508145
51,Active,Yes,1,139.3981115,931.4171944,76.45608616,70.36601721
52,Active,Yes,1,210.0557496,2085.596578,76.44123819,70.36391427
53,Active,Yes,1,443.5104823,12748.35417,76.25184332,70.36413327
54,Active,Yes,1,131.5698254,1107.629874,76.39874206,70.36311473
55,Active,Yes,1,266.8808427,2283.501034,76.4004541,70.36137685
56,Active,Yes,1,159.0060008,714.4274923,76.52189019,70.33321115
57,Active,Yes,1,119.1734677,528.56702,76.65831699,70.28894094
58,General,Yes,1,132.5398929,791.1242311,76.20616671,70.28300447
59,General,Yes,1,195.2502681,1172.306432,76.20636853,70.28250856
60,Active,Yes,1,160.5998917,1049.477017,76.58868165,70.25661347
61,Active,Yes,1,456.5305531,10991.03659,76.58643465,70.25607398
62,Active,Yes,1,229.3718056,1598.63202,76.53564637,70.25228901
63,General,Yes,1,171.4400696,1069.096047,76.53474095,70.25260309
64,Active,Yes,1,709.0417419,12600.42027,76.54675356,70.2469417
65,Active,Yes,1,137.096085,894.0806812,76.54448323,70.2484973
66,Active,Yes,1,161.2133015,1003.012964,76.37051227,70.2503944
67,General,Yes,1,230.7120174,1580.168097,76.3694129,70.25053684
68,Active,Yes,1,124.7939565,816.0174815,76.59654023,70.21326653
69,Active,Yes,1,265.522369,2855.170621,76.56860158,70.2146992
70,Active,Yes,1,510.0226091,8211.809656,76.57046609,70.21391455
71,General,Yes,1,420.9078703,4216.607762,76.57048211,70.21276832
72,General,Yes,1,320.6807149,4623.631013,76.59024414,70.2117811
73,Active,Yes,1,303.3613446,3289.816238,76.59247793,70.21139155
74,Active,Yes,1,233.1348663,2819.228589,76.29975876,70.43457135
75,Active,Yes,1,151.3728995,1031.847708,76.28153106,70.43207127
76,Active,Yes,1,271.1083011,3246.190235,76.27809536,70.43094802
77,Active,Yes,1,78.57595113,345.3171018,76.28006386,70.43165977
78,Active,Yes,1,706.0071842,10998.25053,76.27362192,70.43153334
79,Active,Yes,1,135.0058872,1088.101514,76.27003632,70.43323387
80,Active,Yes,1,747.6460399,23265.7403,-118.1179816,72.99175863
81,Active,Yes,1,2083.959839,100863.5705,-118.1279423,72.99082513
82,Active,Yes,1,207.9056347,2107.313604,-118.1358434,72.99360421
83,Active,Yes,1,291.0930562,3095.668157,-118.1361103,72.99269725
84,Active,Yes,1,333.4965775,5548.094428,-118.1387559,72.99231402
85,Active,Yes,1,2026.210461,100343.2725,-118.1455227,72.99531877
86,Active,Yes,1,142.376704,1215.201284,-118.1452721,72.99741746
87,Active,Yes,1,523.2205577,9093.9813,-118.1411037,72.99719658
88,Active,Yes,1,115.1710631,775.1287608,-118.1534394,72.99601399
89,Active,Yes,1,528.9830683,8415.670877,-126.3867965,69.53809685
90,Active,Yes,1,995.9727868,27117.66435,-126.3947361,69.53607968
91,Active,Yes,1,537.6293888,8897.605059,-126.4026048,69.54155365
92,Active,Yes,1,163.1258185,1310.542572,-126.4045793,69.54107323
93,Active,Yes,1,379.5937226,8844.792958,-133.7868732,69.17963123
94,General,Yes,1,350.6392493,6835.970109,-134.0256413,69.08232507
95,General,Yes,1,189.1032673,1313.285143,-134.0233629,69.08208244
96,General,Yes,1,535.8407144,13409.66917,-133.9988848,69.05462967
97,General,Yes,1,413.5241369,7517.766741,-133.9916103,69.0497136
98,Active,Yes,1,141.1194243,1039.565908,-133.804446,69.02944685
99,General,Yes,1,623.3620136,7051.885851,-133.8023511,69.02836053
100,General,Yes,1,86.8295754,362.4976003,-133.8061078,69.02758965
101,Active,Yes,1,340.0040021,4310.587621,-133.5952205,68.99166611
102,Active,Yes,1,124.5295788,644.1328858,-133.5964122,68.99306155
103,Active,Yes,1,251.3696928,3539.232776,-134.0255776,69.08255475
104,Active,Yes,1,356.4566034,5569.676097,-133.9986252,69.05429383
105,Active,Yes,1,309.5629561,3610.361309,-133.9915399,69.04990504
106,Active,Yes,1,1463.951928,123486.491,-118.2154481,72.9889066
107,Active,Yes,1,925.8285343,28934.06612,-118.1988505,72.97807796
108,Active,Yes,1,776.3848351,26948.83221,-118.2225621,72.97331396
109,Active,Yes,1,350.5253166,3800.146503,-118.1904722,72.95846877
110,Active,Yes,1,173.1894322,1676.130283,-118.1889071,72.95921357
111,Active,Yes,1,182.0570413,1513.719832,-118.2045414,72.95294877
112,Active,Yes,1,257.0393364,2729.104295,-118.1841392,72.95315689
113,Active,Yes,1,413.1349103,10137.00125,-119.4553279,72.89722094
114,Active,Yes,1,902.655437,45053.26869,-119.6225554,72.77684506
115,Active,Yes,1,167.1798141,1316.299562,-119.6293973,72.77513055
116,Active,Yes,1,355.3555203,4504.278519,-119.6296462,72.77465599
117,Active,Yes,1,929.2615028,23643.7066,-119.6435957,72.76133452
118,Active,Yes,1,335.5080502,6827.371585,-119.6484875,72.76055702
119,Active,Yes,1,229.2602622,2978.428862,-119.6524991,72.74922387
120,Active,Yes,1,465.353013,6972.873015,-119.6544615,72.74806664
121,Active,Yes,1,684.7139867,14817.2957,-119.6108746,72.76035195
122,Active,Yes,1,270.9705532,3373.712161,-119.6794431,72.73723753
123,Active,Yes,1,149.5503119,986.5777116,-119.6818577,72.72654164
124,General,Yes,1,302.7207156,4708.071311,-134.0420235,69.07891935
125,General,Yes,1,320.8203271,4458.024106,-134.043083,69.07835577
126,General,Yes,1,299.1874365,5011.443203,-134.0034417,69.08221378
127,General,Yes,1,377.3295863,6440.519934,-133.9512008,69.06032285
128,Active,Yes,1,215.8708019,2645.584676,-138.8692091,69.57313177
129,Active,Yes,1,119.3196429,777.6835715,-138.8683337,69.57269763
130,Active,Yes,1,217.7626945,2288.699249,-138.8703352,69.57124344
131,Active,Yes,1,543.8406995,12245.50838,-138.8656892,69.5723618
132,Active,Yes,1,102.6480462,518.9224978,-139.1666031,69.54243238
133,Active,Yes,1,250.3993858,4174.902398,-139.2165295,69.55276837
134,Active,Yes,1,146.4653314,1369.832343,-139.2175293,69.55461188
135,Active,Yes,1,225.9736956,2329.880911,-139.2171581,69.5535975
136,Active,Yes,1,232.3356464,2089.698556,124.303195,69.10163081
137,Active,Yes,1,255.0421176,1811.995697,-133.950562,69.06017142
