# content: nitze rts polygon coordinates
# date: Mar 2022
# region: Canada and Russia
# description: Labelled by Tiffany and edited by Greg
# Version=1.0
OID_,Id,Gen_or_Act,MatchMaxar,X,Y
0,0,General,Yes,-118.118804990000001,73.075109470000001
1,1,Active,Yes,-118.123041700000002,73.078573340000005
2,2,Active,Yes,-118.136800640000004,73.075904550000004
3,3,Active,Yes,-118.089730500000002,73.076601969999999
4,4,Active,Yes,-118.130224369999993,73.073176000000004
5,5,Active,Yes,-118.148793780000005,73.070952960000000
6,6,General,Yes,-118.283508449999999,73.064199599999995
7,7,Active,Yes,-118.291453720000007,73.065951339999998
8,8,Active,Yes,-118.262436579999999,73.068304760000004
9,9,Active,Yes,-118.264951100000005,73.067915170000006
10,10,Active,Yes,-118.273787020000000,73.069028610000004
11,11,Active,Yes,-118.263089739999998,73.074265990000001
12,12,Active,Yes,-118.268675909999999,73.072431300000005
13,13,Active,Yes,-118.279298859999997,73.073510490000004
14,14,General,Yes,-118.272194319999997,73.073335700000001
15,15,Active,Yes,-118.336038329999994,73.045592589999998
16,16,Active,Yes,-118.358041529999994,73.047255500000006
17,17,Active,Yes,-118.341198000000006,73.046736190000004
18,18,Active,Yes,-118.374517760000003,73.048444090000004
19,19,Active,Yes,-118.384981289999999,73.059524830000001
20,20,Active,Yes,-118.383409720000003,73.057363420000001
21,21,Active,Yes,-118.385506430000007,73.055512070000006
22,22,Active,Yes,-118.387008339999994,73.053584040000004
23,23,Active,Yes,-118.380647479999993,73.048331619999999
24,24,Active,Yes,-118.358447150000003,73.046221149999994
25,25,Active,Yes,-118.209517759999997,73.039741480000004
26,26,Active,Yes,-118.204526549999997,73.050229410000000
27,27,Active,Yes,-118.342728899999997,73.036718820000004
28,28,Active,Yes,-118.347588459999997,73.038317739999997
29,29,Active,Yes,-118.351879490000002,73.037669739999998
30,30,Active,Yes,-118.356384899999995,73.035708499999998
31,31,Active,Yes,-118.365351200000006,73.034057090000005
32,32,Active,Yes,-118.365906859999996,73.032038060000005
33,33,Active,Yes,-118.368191890000006,73.031044809999997
34,34,Active,Yes,-118.366255089999996,73.029841020000006
35,35,Active,Yes,-118.365088720000003,73.028729479999996
36,36,Active,Yes,-118.362956519999997,73.027686390000000
37,37,Active,Yes,-118.362169170000001,73.026195749999999
38,38,Active,Yes,-118.363026410000003,73.024630459999997
39,39,Active,Yes,-118.357680360000003,73.023249370000002
40,40,Active,Yes,-118.360640979999999,73.022134429999994
41,41,Active,Yes,-118.354250010000001,73.020353150000005
42,42,Active,Yes,-118.345054320000003,73.017293379999998
43,43,Active,Yes,-118.334516469999997,73.015585119999997
44,44,Active,Yes,-118.330814160000003,73.014264940000004
45,45,Active,Yes,-118.328420120000004,73.014383699999996
46,46,Active,Yes,-118.345003210000002,73.005163490000001
47,47,Active,Yes,-118.297972909999999,73.013204459999997
48,48,Active,Yes,-118.293971260000006,73.014823509999999
49,49,Active,Yes,-118.291116950000003,73.014774610000003
50,50,Active,Yes,-118.287285170000004,73.001979590000005
51,51,Active,Yes,-118.256250469999998,73.019731969999995
52,52,Active,Yes,-118.246813209999999,73.016281390000003
53,53,Active,Yes,-118.202414759999996,73.011211220000007
54,54,Active,Yes,-118.205258459999996,73.009817299999995
55,55,Active,Yes,-118.204100290000000,73.008275549999993
56,56,Active,Yes,-118.200683710000007,72.999762950000004
57,57,Active,Yes,-118.179595930000005,73.009182390000007
58,58,Active,Yes,-118.168928870000002,73.008012820000005
59,59,Active,Yes,-118.154901179999996,73.005638259999998
60,60,Active,Yes,-118.143000130000004,73.005561180000001
61,61,Active,Yes,-118.132655869999994,73.005607839999996
62,62,Active,Yes,-118.124861999999993,73.003666989999999
63,63,Active,Yes,-118.112122920000004,73.003151369999998
64,64,Active,Yes,-118.116743569999997,73.002790360000006
65,65,Active,Yes,-118.119789260000005,73.003996970000003
66,66,Active,Yes,-118.096866370000001,73.000667390000004
67,67,Active,Yes,-118.093150510000001,73.000111279999999
68,68,General,Yes,-118.335722540000006,73.002576880000007
69,69,Active,Yes,-118.331601550000002,73.003654720000000
70,70,Active,Yes,-118.349883289999994,73.017489089999998
71,71,Active,Yes,-118.341459639999997,73.015759790000004
72,72,Active,Yes,-118.332106139999993,73.014908680000005
73,73,Active,Yes,-118.104761490000001,73.002342080000005
74,74,Active,Yes,-118.215894669999997,73.048392190000001
75,75,Active,Yes,-118.106762570000001,73.071733320000007
76,76,Active,Yes,-118.109199110000006,73.074063839999994
77,77,Active,Yes,-118.080843849999994,73.082835889999998
78,78,Active,Yes,-118.268405040000005,73.019836319999996
79,79,Active,Yes,-118.253219029999997,73.018468990000002
80,80,Active,Yes,-118.107432169999996,73.049531619999996
81,81,Active,Yes,-118.259325890000000,73.073925829999993
82,82,Active,Yes,-118.162592880000005,73.020361919999999
83,83,Active,Yes,-119.596392699999996,72.868318540000004
84,84,Active,Yes,-119.460753900000000,72.842968270000000
85,85,Active,Yes,-119.447416259999997,72.861398739999998
86,86,Active,Yes,-119.508733579999998,72.844030360000005
87,87,Active,Yes,-119.508980120000004,72.842859469999993
88,88,Active,Yes,-119.590571199999999,72.840661359999999
89,89,Active,Yes,-119.600886180000003,72.848140069999999
90,90,Active,Yes,-119.610190090000003,72.853239869999996
91,91,Active,Yes,-119.638872199999994,72.843762729999995
92,92,Active,Yes,-119.680951690000001,72.863579119999997
93,93,Active,Yes,-119.678548149999997,72.865243120000002
94,94,Active,Yes,-119.668312959999994,72.868029019999994
95,95,Active,Yes,-119.668080250000003,72.868854529999993
96,96,Active,Yes,-119.661473869999995,72.868733090000006
97,97,Active,Yes,-119.638198639999999,72.868017910000006
98,98,Active,Yes,-119.639256189999998,72.866829490000001
99,99,General,Yes,-119.640121910000005,72.867399870000000
100,100,Active,Yes,-119.632728900000004,72.864950759999999
101,101,Active,Yes,-119.643781439999998,72.862404310000002
102,102,Active,Yes,-119.631241090000003,72.865060720000002
103,103,Active,Yes,-119.685767920000004,72.874826679999998
104,104,Active,Yes,-119.682649589999997,72.856681350000002
105,105,Active,Yes,-119.669634639999998,72.835122609999999
106,106,Active,Yes,-119.651774009999997,72.834925580000004
107,107,Active,Yes,-119.653475310000005,72.834452319999997
108,108,Active,Yes,-119.654223939999994,72.833789719999999
109,109,Active,Yes,-119.657707729999998,72.833299030000006
110,110,Active,Yes,-119.621256399999993,72.834828349999995
111,111,Active,Yes,-119.620547759999994,72.834366220000007
112,112,Active,Yes,-119.578908620000007,72.827078619999995
113,113,Active,Yes,-119.577857370000004,72.831571339999996
114,114,Active,Yes,-119.567119329999997,72.820134370000005
115,115,Active,Yes,-119.558800599999998,72.810882329999998
116,116,Active,Yes,-119.561779000000001,72.810383720000004
117,117,Active,Yes,-119.555027510000002,72.811999889999996
118,118,Active,Yes,-119.558911170000002,72.811996660000005
119,119,Active,Yes,-119.559625330000003,72.809564699999996
120,120,Active,Yes,-119.560711819999995,72.806508280000003
121,121,Active,Yes,-119.559224150000006,72.808122650000001
122,122,Active,Yes,-119.561630089999994,72.804440479999997
123,123,Active,Yes,-119.576315300000005,72.800408079999997
124,124,Active,Yes,-119.565339710000003,72.802240049999995
125,125,Active,Yes,-119.569509609999997,72.801421939999997
126,126,Active,Yes,-119.651760429999996,72.809216820000003
127,127,Active,Yes,-119.522140429999993,72.838875000000002
128,128,Active,Yes,-119.432144469999997,72.821754819999995
129,129,Active,Yes,-119.430612269999997,72.823018820000001
130,130,Active,Yes,-119.396304740000005,72.823737739999999
131,131,Active,Yes,-119.404866799999994,72.823563550000003
132,132,Active,Yes,-119.400448920000002,72.823535719999995
133,133,Active,Yes,-119.405762620000004,72.823906760000000
134,134,Active,Yes,-119.400145629999997,72.819919490000004
135,135,Active,Yes,-119.531545050000005,72.803793600000006
136,136,Active,Yes,-119.408044570000001,72.822459769999995
137,137,Active,Yes,-119.616237310000002,72.863395920000002
138,138,Active,Yes,-119.568409270000004,72.834511870000000
139,139,Active,Yes,-119.642317969999993,72.862561529999994
140,140,Active,Yes,-139.039746790000009,69.556674509999993
141,141,Active,Yes,-139.051448219999997,69.550706149999996
142,142,Active,Yes,-139.051650730000006,69.547835800000001
143,143,Active,Yes,-139.054964289999987,69.544195220000006
144,144,Active,Yes,-139.007442599999990,69.570086459999999
145,145,Active,Yes,-139.009023549999995,69.568999930000004
146,146,Active,Yes,-139.017236099999991,69.569134230000003
147,147,General,Yes,-138.989225379999993,69.575301249999995
148,148,Active,Yes,-138.952454979999999,69.577021189999996
149,149,Active,Yes,-138.950947829999990,69.576210630000006
150,150,Active,Yes,-138.948267560000005,69.576124269999994
151,151,Active,Yes,-138.947517540000007,69.576119719999994
152,152,Active,Yes,-138.980165209999996,69.577348729999997
153,153,Active,Yes,-138.963538230000012,69.577384010000003
154,154,General,Yes,-139.029853419999995,69.577631819999993
155,155,General,Yes,-138.916415419999993,69.603188840000001
156,156,General,Yes,-138.941250929999995,69.577697110000003
157,157,General,Yes,-139.051922130000008,69.600356349999998
158,158,Active,Yes,-139.091793039999999,69.628493910000003
159,159,Active,Yes,-139.094213709999991,69.627756930000004
160,160,Active,Yes,-139.088630880000011,69.632526720000001
161,161,Active,Yes,-139.064415999999994,69.543367570000001
162,162,General,Yes,-139.057953779999991,69.545084090000003
163,163,Active,Yes,-139.058461740000013,69.546690990000002
164,164,Active,Yes,-138.947980230000013,69.578629829999997
165,165,Active,Yes,-138.928298329999990,69.579909909999998
166,166,Active,Yes,-126.673450500000001,69.710837810000001
167,167,Active,Yes,-126.702278250000006,69.702964420000001
168,168,General,Yes,-126.694392629999996,69.729317440000003
169,169,Active,Yes,-126.690142910000006,69.727468959999996
170,170,Active,Yes,-126.685557220000007,69.720835199999996
171,171,Active,Yes,-126.721942709999993,69.724456419999996
172,172,General,Yes,-126.721763449999997,69.723623979999999
173,173,Active,Yes,-126.731521860000001,69.724588499999996
174,174,General,Yes,-126.729660170000002,69.725463809999994
175,175,Active,Yes,-126.745067660000004,69.765029330000004
176,176,Active,Yes,-126.742468930000001,69.767413500000004
177,177,Active,Yes,-126.743195610000001,69.771393649999993
178,178,Active,Yes,-126.723058440000003,69.754760759999996
179,179,Active,Yes,-126.723148269999996,69.753631700000000
180,180,Active,Yes,-126.730283770000000,69.756032829999995
181,181,Active,Yes,-126.745484739999995,69.759647920000006
182,182,Active,Yes,-126.754114329999993,69.753289159999994
183,183,General,Yes,-126.746205189999998,69.752567360000000
184,184,Active,Yes,-126.747442449999994,69.751720840000004
185,185,Active,Yes,-126.757830470000002,69.739914110000001
186,186,Active,Yes,-126.734086919999996,69.751859210000006
187,187,Active,Yes,-126.727792359999995,69.744896429999997
188,188,Active,Yes,-126.721937620000006,69.740172520000002
189,189,Active,Yes,-126.739568530000000,69.719446219999995
190,190,Active,Yes,-126.721910640000004,69.718194949999997
191,191,Active,Yes,-126.733649450000001,69.716734489999993
192,192,Active,Yes,-126.736642329999995,69.714451370000006
193,193,Active,Yes,-126.758271809999997,69.703194490000001
194,194,Active,Yes,-126.764114809999995,69.709807280000007
195,195,General,Yes,-126.765823589999997,69.709766590000001
196,196,General,Yes,-126.770732839999994,69.710602480000006
197,197,Active,Yes,-126.736170240000007,69.708463490000000
198,198,General,Yes,-126.731321129999998,69.705578270000004
199,199,Active,Yes,-126.725560180000002,69.708278870000001
200,200,Active,Yes,-126.716043700000000,69.712716839999999
201,201,Active,Yes,-126.716211410000000,69.713804999999994
202,202,Active,Yes,-126.713758859999999,69.696388470000002
203,203,Active,Yes,-126.715418150000005,69.694676639999997
204,204,General,Yes,-126.719850300000004,69.694709560000007
205,205,Active,Yes,-126.721827450000006,69.691849509999997
206,206,General,Yes,-126.728391270000003,69.696766170000004
207,207,Active,Yes,-126.727362409999998,69.695700160000001
208,208,Active,Yes,-126.709299849999994,69.695092399999993
209,209,General,Yes,-126.704337490000000,69.697437280000003
210,210,General,Yes,-126.705000440000006,69.698830990000005
211,211,General,Yes,-126.719834579999997,69.710148799999999
212,212,General,Yes,-126.719620449999994,69.711161779999998
213,213,Active,Yes,-126.833582570000004,69.746775279999994
214,214,Active,Yes,-126.825757339999996,69.740874579999996
215,215,General,Yes,-126.744395150000003,69.736988949999997
216,216,Active,Yes,-126.744721549999994,69.737393819999994
217,217,Active,Yes,-126.741741779999998,69.768534630000005
218,218,Active,Yes,-126.707648039999995,69.713298859999995
219,219,General,Yes,-126.705810950000000,69.728742120000007
220,220,Active,Yes,-126.809759110000002,69.758537720000007
221,221,Active,Yes,-126.701608010000001,69.738160510000000
222,222,Active,Yes,-126.701923539999996,69.736837809999997
