#content: woodwell rts polygon coordinates
#date: Jan 2022
#region: yamal and gydan
#description:'yes/maybe/no=1,2,3' category, active/general regions
#Version:raw data v2.0
OID_,Id,area_km2,CreationDa,EditDate,code_id,Long,Lat,Act_or_Gen
0,0,0.00587585,10/22/2020 0:00,10/22/2020 0:00,1,68.38716337,69.96710548,Active
1,1,0.003526616,10/22/2020 0:00,10/22/2020 0:00,2,68.38769478,69.96667661,
2,2,0.000761443,10/22/2020 0:00,10/22/2020 0:00,2,68.3672788,69.97124613,
3,3,0.000529905,10/22/2020 0:00,10/22/2020 0:00,1,68.33613371,69.96529284,Active
4,4,0.004716099,10/22/2020 0:00,10/22/2020 0:00,2,68.36673328,69.97266346,
5,5,0.007996415,10/22/2020 0:00,10/22/2020 0:00,1,68.36530019,69.97223986,General
6,6,0.00152372,10/22/2020 0:00,10/22/2020 0:00,1,68.50831126,69.98937225,Active
7,7,0.002393509,10/22/2020 0:00,10/22/2020 0:00,1,68.34169279,69.9587747,Active
8,9,0.00932633,10/28/2020 0:00,10/28/2020 0:00,1,80.83449613,71.44033836,Active
9,10,0.015035704,10/28/2020 0:00,10/28/2020 0:00,1,80.8377539,71.44085086,Active
10,11,0.007890861,10/28/2020 0:00,10/28/2020 0:00,1,80.83508614,71.43418623,Active
11,12,0.019596957,10/28/2020 0:00,10/28/2020 0:00,2,80.84385266,71.44116176,
12,13,0.000439414,10/28/2020 0:00,10/28/2020 0:00,1,80.86932048,71.27089194,Active
13,14,0.005659785,10/28/2020 0:00,10/28/2020 0:00,1,80.87012072,71.26979292,Active
14,15,0.004602365,10/28/2020 0:00,10/28/2020 0:00,2,80.87168606,71.26955873,
15,16,0.008332052,10/28/2020 0:00,10/28/2020 0:00,1,80.9816239,71.24874386,General
16,17,0.003405925,10/28/2020 0:00,10/28/2020 0:00,2,80.98028128,71.24885656,
17,18,0.006802404,10/28/2020 0:00,10/28/2020 0:00,1,80.87004351,71.23011133,General
18,19,0.008258487,10/28/2020 0:00,10/28/2020 0:00,1,81.19390121,71.17109673,Active
19,20,0.005289822,10/28/2020 0:00,10/28/2020 0:00,2,81.21029199,71.16954279,
20,21,0.005717737,10/28/2020 0:00,10/28/2020 0:00,1,81.21995226,71.16943914,Active
21,22,0.00097013,10/28/2020 0:00,10/28/2020 0:00,1,81.2152965,71.16701504,Active
22,23,0.00204692,10/28/2020 0:00,10/28/2020 0:00,1,81.21148729,71.16002523,General
23,24,0.001665341,10/28/2020 0:00,10/28/2020 0:00,1,81.21267439,71.15973668,Active
